GRUPOSERVICO_CODIGO;GRUPOSERVICO_DESCRICAO;SERVICO_CODIGO;SERVICO_DESCRICAO;LOGRADOURO;NUMERO;BAIRRO;RPA;DATA_DEMANDA;SITUACAO;DATA_ULT_SITUACAO
7;ARBORIZAÇÃO;16;VISTORIA DE ARVORES;AV  DANTAS BARRETO;271;SAO JOSE;1;2018-04-14;CADASTRADA;2018-04-14
7;ARBORIZAÇÃO;16;VISTORIA DE ARVORES;AV  RIO MORNO;33-140;DOIS UNIDOS;2;2018-04-14;CADASTRADA;2018-04-14
7;ARBORIZAÇÃO;16;VISTORIA DE ARVORES;RUA  BULANDY;137;VARZEA;4;2018-04-14;CADASTRADA;2018-04-14
7;ARBORIZAÇÃO;16;VISTORIA DE ARVORES;RUA  DJALMA FARIAS;420;TORREAO;2;2018-04-14;CADASTRADA;2018-04-14
7;ARBORIZAÇÃO;16;VISTORIA DE ARVORES;RUA  NELSON VIANA;300;ENGENHO DO MEIO;4;2018-04-14;CADASTRADA;2018-04-14
11;DRENAGEM;4;LIMP. DE GALERIAS,VALETAS,SARJETAS;RUA  ALEXANDRE SELVA;150;AFOGADOS;5;2018-04-14;CADASTRADA;2018-04-14
11;DRENAGEM;4;LIMP. DE GALERIAS,VALETAS,SARJETAS;RUA  ASTORGA;SN;ILHA DO RETIRO;4;2018-04-14;CADASTRADA;2018-04-14
11;DRENAGEM;4;LIMP. DE GALERIAS,VALETAS,SARJETAS;RUA  BRUNO VELOSO;1130;BOA VIAGEM;6;2018-04-14;CADASTRADA;2018-04-14
11;DRENAGEM;4;LIMP. DE GALERIAS,VALETAS,SARJETAS;RUA  JAGUARANA;291;ALTO DO MANDU;3;2018-04-14;CADASTRADA;2018-04-14
11;DRENAGEM;4;LIMP. DE GALERIAS,VALETAS,SARJETAS;RUA MARECHAL MANOEL LUIS OSORIO;375;VARZEA;4;2018-04-14;CADASTRADA;2018-04-14
11;DRENAGEM;4;LIMP. DE GALERIAS,VALETAS,SARJETAS;RUA SANTO CRISTO;168;AFOGADOS;5;2018-04-14;CADASTRADA;2018-04-14
11;DRENAGEM;18;REPOSIÇÃO TAMPA DE POÇO, GALERIAS E PRE-MOLDADOS;RUA  ALEXANDRE SELVA;150;AFOGADOS;5;2018-04-14;CADASTRADA;2018-04-14
17;ILUMINAÇÃO PÚBLICA;23;ACENDER CIRCUITO;PRC  MACIEL PINHEIRO;00;BOA VISTA;1;2018-04-14;EXECUÇÃO;2018-04-14
17;ILUMINAÇÃO PÚBLICA;23;ACENDER CIRCUITO;RUA  IMPERIAL;1280;SAO JOSE;1;2018-04-14;PREPARAÇÃO;2018-04-14
17;ILUMINAÇÃO PÚBLICA;25;MANUTENÇÃO EM LÂMPADA APAGADA;AV  CAMPINA GRANDE;75;COHAB;6;2018-04-14;EXECUÇÃO;2018-04-14
17;ILUMINAÇÃO PÚBLICA;25;MANUTENÇÃO EM LÂMPADA APAGADA;AV  DONA CARENTINA;08;JORDAO;6;2018-04-14;PREPARAÇÃO;2018-04-14
17;ILUMINAÇÃO PÚBLICA;25;MANUTENÇÃO EM LÂMPADA APAGADA;AV  RIO GRANDE;138;COHAB;6;2018-04-14;EXECUÇÃO;2018-04-14
17;ILUMINAÇÃO PÚBLICA;25;MANUTENÇÃO EM LÂMPADA APAGADA;AV  VALENCA;00;COHAB;6;2018-04-14;EXECUÇÃO;2018-04-14
